other import 0.0010001659393310547
         202661 function calls (198117 primitive calls) in 0.516 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    0.000    0.000    0.000    0.000 :0(is_builtin)
      314    0.000    0.000    0.000    0.000 :0(is_frozen)
      235    0.000    0.000    0.000    0.000 :0(isidentifier)
    18185    0.016    0.000    0.016    0.000 :0(isinstance)
       12    0.000    0.000    0.000    0.000 :0(islower)
      172    0.000    0.000    0.000    0.000 :0(issubclass)
      864    0.000    0.000    0.000    0.000 :0(isupper)
      200    0.000    0.000    0.000    0.000 :0(items)
3502/3451    0.000    0.000    0.047    0.000 :0(join)
       17    0.000    0.000    0.000    0.000 :0(keys)
13682/13262    0.031    0.000    0.031    0.000 :0(len)
       29    0.000    0.000    0.000    0.000 :0(listdir)
      260    0.062    0.000    0.062    0.000 :0(loads)
       77    0.000    0.000    0.000    0.000 :0(locals)
        2    0.000    0.000    0.000    0.000 :0(log)
     1043    0.000    0.000    0.000    0.000 :0(lower)
      926    0.000    0.000    0.000    0.000 :0(lstrip)
        4    0.000    0.000    0.000    0.000 :0(maketrans)
      245    0.000    0.000    0.000    0.000 :0(match)
      578    0.000    0.000    0.000    0.000 :0(max)
     1561    0.000    0.000    0.000    0.000 :0(min)
        9    0.000    0.000    0.000    0.000 :0(mro)
        2    0.000    0.000    0.000    0.000 :0(newbyteorder)
       23    0.000    0.000    0.000    0.000 :0(next)
        2    0.000    0.000    0.000    0.000 :0(open)
      260    0.031    0.000    0.031    0.000 :0(open_code)
        1    0.000    0.000    0.000    0.000 :0(open_osfhandle)
        1    0.000    0.000    0.000    0.000 :0(openssl_md5)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha1)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha256)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha384)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha3_224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha3_256)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha3_384)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha3_512)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha512)
        1    0.000    0.000    0.000    0.000 :0(openssl_shake_128)
        1    0.000    0.000    0.000    0.000 :0(openssl_shake_256)
      678    0.000    0.000    0.000    0.000 :0(ord)
      544    0.000    0.000    0.000    0.000 :0(partition)
      440    0.000    0.000    0.000    0.000 :0(pop)
        1    0.000    0.000    0.000    0.000 :0(popitem)
        1    0.000    0.000    0.000    0.000 :0(print)
        2    0.000    0.000    0.000    0.000 :0(putenv)
      261    0.000    0.000    0.000    0.000 :0(read)
        1    0.000    0.000    0.000    0.000 :0(register)
       10    0.000    0.000    0.000    0.000 :0(release)
     2368    0.000    0.000    0.000    0.000 :0(release_lock)
        9    0.000    0.000    0.000    0.000 :0(remove)
      672    0.000    0.000    0.000    0.000 :0(replace)
       73    0.000    0.000    0.000    0.000 :0(repr)
     1041    0.000    0.000    0.000    0.000 :0(rfind)
       12    0.000    0.000    0.000    0.000 :0(round)
     2166    0.016    0.000    0.016    0.000 :0(rpartition)
     7708    0.016    0.000    0.016    0.000 :0(rstrip)
        1    0.000    0.000    0.000    0.000 :0(scandir)
        9    0.000    0.000    0.000    0.000 :0(search)
        1    0.000    0.000    0.000    0.000 :0(seed)
        1    0.000    0.000    0.000    0.000 :0(set_typeDict)
     3843    0.000    0.000    0.000    0.000 :0(setattr)
       45    0.000    0.000    0.000    0.000 :0(setdefault)
        9    0.000    0.000    0.000    0.000 :0(seterrobj)
        1    0.000    0.000    0.000    0.000 :0(setprofile)
       16    0.000    0.000    0.000    0.000 :0(setter)
       38    0.000    0.000    0.000    0.000 :0(sizeof)
       11    0.000    0.000    0.000    0.000 :0(sort)
        4    0.000    0.000    0.000    0.000 :0(sorted)
      118    0.000    0.000    0.000    0.000 :0(split)
       13    0.000    0.000    0.000    0.000 :0(splitlines)
        1    0.000    0.000    0.000    0.000 :0(sqrt)
     8986    0.016    0.000    0.016    0.000 :0(startswith)
     1190    0.047    0.000    0.047    0.000 :0(stat)
      415    0.000    0.000    0.000    0.000 :0(strip)
       56    0.000    0.000    0.000    0.000 :0(sub)
        3    0.000    0.000    0.000    0.000 :0(time)
        2    0.000    0.000    0.000    0.000 :0(tobytes)
        7    0.000    0.000    0.000    0.000 :0(tolist)
      118    0.000    0.000    0.000    0.000 :0(translate)
      226    0.000    0.000    0.000    0.000 :0(unicode_iscased)
      206    0.000    0.000    0.000    0.000 :0(unicode_tolower)
        1    0.000    0.000    0.000    0.000 :0(union)
        2    0.000    0.000    0.000    0.000 :0(unsetenv)
      793    0.000    0.000    0.000    0.000 :0(update)
       48    0.000    0.000    0.000    0.000 :0(upper)
        1    0.000    0.000    0.000    0.000 :0(urandom)
       39    0.000    0.000    0.000    0.000 :0(values)
       13    0.000    0.000    0.000    0.000 :0(vars)
      5/3    0.000    0.000    0.000    0.000 :0(view)
        4    0.000    0.000    0.000    0.000 :0(zeros)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
    338/1    0.000    0.000    0.516    0.516 <frozen importlib._bootstrap>:1002(_find_and_load)
   324/68    0.000    0.000    0.422    0.006 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      742    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      742    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      404    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    485/1    0.016    0.000    0.516    0.516 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     2679    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      563    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
      763    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      320    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      320    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  320/317    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    320/1    0.000    0.000    0.516    0.516 <frozen importlib._bootstrap>:659(_load_unlocked)
      331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      314    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
