# List of space groups implemented in th python `spglib`
# number international_short international_full international schoenflies hall_number hall_symbol choice pointgroup_international pointgroup_schoenflies arithmetic_crystal_class_number arithmetic_crystal_class_symbol
1    P1          P 1                  P 1                              C1^1    1    P 1             std    1      C1   1   1P     
10   P2/m        P 1 1 2/m            P 2/m = P 1 1 2/m                C2h^1   58   -P 2            c      2/m    C2h  7   2/mP   
10   P2/m        P 2/m 1 1            P 2/m = P 2/m 1 1                C2h^1   59   -P 2x           a      2/m    C2h  7   2/mP   
11   P2_1/m      P 1 2_1/m 1          P 2_1/m = P 1 2_1/m 1            C2h^2   60   -P 2yb          b      2/m    C2h  7   2/mP   
11   P2_1/m      P 1 1 2_1/m          P 2_1/m = P 1 1 2_1/m            C2h^2   61   -P 2c           c      2/m    C2h  7   2/mP   
11   P2_1/m      P 2_1/m 1 1          P 2_1/m = P 2_1/m 1 1            C2h^2   62   -P 2xa          a      2/m    C2h  7   2/mP   
12   C2/m        C 1 2/m 1            C 2/m = C 1 2/m 1                C2h^3   63   -C 2y           b1     2/m    C2h  8   2/mC   
12   C2/m        A 1 2/m 1            C 2/m = A 1 2/m 1                C2h^3   64   -A 2y           b2     2/m    C2h  8   2/mC   
12   C2/m        I 1 2/m 1            C 2/m = I 1 2/m 1                C2h^3   65   -I 2y           b3     2/m    C2h  8   2/mC   
12   C2/m        A 1 1 2/m            C 2/m = A 1 1 2/m                C2h^3   66   -A 2            c1     2/m    C2h  8   2/mC   
12   C2/m        B 1 1 2/m            C 2/m = B 1 1 2/m = B 2/m        C2h^3   67   -B 2            c2     2/m    C2h  8   2/mC   
12   C2/m        I 1 1 2/m            C 2/m = I 1 1 2/m                C2h^3   68   -I 2            c3     2/m    C2h  8   2/mC   
12   C2/m        B 2/m 1 1            C 2/m = B 2/m 1 1                C2h^3   69   -B 2x           a1     2/m    C2h  8   2/mC   
12   C2/m        C 2/m 1 1            C 2/m = C 2/m 1 1                C2h^3   70   -C 2x           a2     2/m    C2h  8   2/mC   
12   C2/m        I 2/m 1 1            C 2/m = I 2/m 1 1                C2h^3   71   -I 2x           a3     2/m    C2h  8   2/mC   
13   P2/c        P 1 2/c 1            P 2/c = P 1 2/c 1                C2h^4   72   -P 2yc          b1     2/m    C2h  7   2/mP   
13   P2/c        P 1 2/n 1            P 2/c = P 1 2/n 1                C2h^4   73   -P 2yac         b2     2/m    C2h  7   2/mP   
13   P2/c        P 1 2/a 1            P 2/c = P 1 2/a 1                C2h^4   74   -P 2ya          b3     2/m    C2h  7   2/mP   
13   P2/c        P 1 1 2/a            P 2/c = P 1 1 2/a                C2h^4   75   -P 2a           c1     2/m    C2h  7   2/mP   
13   P2/c        P 1 1 2/n            P 2/c = P 1 1 2/n                C2h^4   76   -P 2ab          c2     2/m    C2h  7   2/mP   
13   P2/c        P 1 1 2/b            P 2/c = P 1 1 2/b = P 2/b        C2h^4   77   -P 2b           c3     2/m    C2h  7   2/mP   
13   P2/c        P 2/b 1 1            P 2/c = P 2/b 1 1                C2h^4   78   -P 2xb          a1     2/m    C2h  7   2/mP   
13   P2/c        P 2/n 1 1            P 2/c = P 2/n 1 1                C2h^4   79   -P 2xbc         a2     2/m    C2h  7   2/mP   
13   P2/c        P 2/c 1 1            P 2/c = P 2/c 1 1                C2h^4   80   -P 2xc          a3     2/m    C2h  7   2/mP   
14   P2_1/c      P 1 2_1/c 1          P 2_1/c = P 1 2_1/c 1            C2h^5   81   -P 2ybc         b1     2/m    C2h  7   2/mP   
14   P2_1/c      P 1 2_1/n 1          P 2_1/c = P 1 2_1/n 1            C2h^5   82   -P 2yn          b2     2/m    C2h  7   2/mP   
14   P2_1/c      P 1 2_1/a 1          P 2_1/c = P 1 2_1/a 1            C2h^5   83   -P 2yab         b3     2/m    C2h  7   2/mP   
14   P2_1/c      P 1 1 2_1/a          P 2_1/c = P 1 1 2_1/a            C2h^5   84   -P 2ac          c1     2/m    C2h  7   2/mP   
14   P2_1/c      P 1 1 2_1/n          P 2_1/c = P 1 1 2_1/n            C2h^5   85   -P 2n           c2     2/m    C2h  7   2/mP   
14   P2_1/c      P 1 1 2_1/b          P 2_1/c = P 1 1 2_1/b = P 2_1/b  C2h^5   86   -P 2bc          c3     2/m    C2h  7   2/mP   
14   P2_1/c      P 2_1/b 1 1          P 2_1/c = P 2_1/b 1 1            C2h^5   87   -P 2xab         a1     2/m    C2h  7   2/mP   
14   P2_1/c      P 2_1/n 1 1          P 2_1/c = P 2_1/n 1 1            C2h^5   88   -P 2xn          a2     2/m    C2h  7   2/mP   
14   P2_1/c      P 2_1/c 1 1          P 2_1/c = P 2_1/c 1 1            C2h^5   89   -P 2xac         a3     2/m    C2h  7   2/mP   
15   C2/c        C 1 2/c 1            C 2/c = C 1 2/c 1                C2h^6   90   -C 2yc          b1     2/m    C2h  8   2/mC   
15   C2/c        A 1 2/n 1            C 2/c = A 1 2/n 1                C2h^6   91   -A 2yab         b2     2/m    C2h  8   2/mC   
15   C2/c        I 1 2/a 1            C 2/c = I 1 2/a 1                C2h^6   92   -I 2ya          b3     2/m    C2h  8   2/mC   
15   C2/c        A 1 2/a 1            C 2/c = A 1 2/a 1                C2h^6   93   -A 2ya          -b1    2/m    C2h  8   2/mC   
15   C2/c        C 1 2/n 1            C 2/c = C 1 2/n 1                C2h^6   94   -C 2yac         -b2    2/m    C2h  8   2/mC   
15   C2/c        I 1 2/c 1            C 2/c = I 1 2/c 1                C2h^6   95   -I 2yc          -b3    2/m    C2h  8   2/mC   
15   C2/c        A 1 1 2/a            C 2/c = A 1 1 2/a                C2h^6   96   -A 2a           c1     2/m    C2h  8   2/mC   
15   C2/c        B 1 1 2/n            C 2/c = B 1 1 2/n                C2h^6   97   -B 2ab          c2     2/m    C2h  8   2/mC   
15   C2/c        I 1 1 2/b            C 2/c = I 1 1 2/b                C2h^6   98   -I 2b           c3     2/m    C2h  8   2/mC   
15   C2/c        B 1 1 2/b            C 2/c = B 1 1 2/b = B 2/b        C2h^6   99   -B 2b           -c1    2/m    C2h  8   2/mC   
15   C2/c        A 1 1 2/n            C 2/c = A 1 1 2/n                C2h^6   100  -A 2ab          -c2    2/m    C2h  8   2/mC   
15   C2/c        I 1 1 2/a            C 2/c = I 1 1 2/a                C2h^6   101  -I 2a           -c3    2/m    C2h  8   2/mC   
15   C2/c        B 2/b 1 1            C 2/c = B 2/b 1 1                C2h^6   102  -B 2xb          a1     2/m    C2h  8   2/mC   
15   C2/c        C 2/n 1 1            C 2/c = C 2/n 1 1                C2h^6   103  -C 2xac         a2     2/m    C2h  8   2/mC   
15   C2/c        I 2/c 1 1            C 2/c = I 2/c 1 1                C2h^6   104  -I 2xc          a3     2/m    C2h  8   2/mC   
15   C2/c        C 2/c 1 1            C 2/c = C 2/c 1 1                C2h^6   105  -C 2xc          -a1    2/m    C2h  8   2/mC   
15   C2/c        B 2/n 1 1            C 2/c = B 2/n 1 1                C2h^6   106  -B 2xab         -a2    2/m    C2h  8   2/mC   
15   C2/c        I 2/b 1 1            C 2/c = I 2/b 1 1                C2h^6   107  -I 2xb          -a3    2/m    C2h  8   2/mC   
16   P222        P 2 2 2              P 2 2 2                          D2^1    108  P 2 2           std    222    D2   9   222P   
17   P222_1      P 2 2 2_1            P 2 2 2_1                        D2^2    109  P 2c 2          std    222    D2   9   222P   
17   P2_122      P 2_1 2 2            P 2_1 2 2                        D2^2    110  P 2a 2a         cab    222    D2   9   222P   
17   P22_12      P 2 2_1 2            P 2 2_1 2                        D2^2    111  P 2 2b          bca    222    D2   9   222P   
18   P2_12_12    P 2_1 2_1 2          P 2_1 2_1 2                      D2^3    112  P 2 2ab         std    222    D2   9   222P   
18   P22_12_1    P 2 2_1 2_1          P 2 2_1 2_1                      D2^3    113  P 2bc 2         cab    222    D2   9   222P   
18   P2_122_1    P 2_1 2 2_1          P 2_1 2 2_1                      D2^3    114  P 2ac 2ac       bca    222    D2   9   222P   
19   P2_12_12_1  P 2_1 2_1 2_1        P 2_1 2_1 2_1                    D2^4    115  P 2ac 2ab       std    222    D2   9   222P   
20   C222_1      C 2 2 2_1            C 2 2 2_1                        D2^5    116  C 2c 2          std    222    D2   10  222C   
20   A2_122      A 2_1 2 2            A 2_1 2 2                        D2^5    117  A 2a 2a         cab    222    D2   10  222C   
20   B22_12      B 2 2_1 2            B 2 2_1 2                        D2^5    118  B 2 2b          bca    222    D2   10  222C   
21   C222        C 2 2 2              C 2 2 2                          D2^6    119  C 2 2           std    222    D2   10  222C   
21   A222        A 2 2 2              A 2 2 2                          D2^6    120  A 2 2           cab    222    D2   10  222C   
21   B222        B 2 2 2              B 2 2 2                          D2^6    121  B 2 2           bca    222    D2   10  222C   
22   F222        F 2 2 2              F 2 2 2                          D2^7    122  F 2 2           std    222    D2   11  222F   
23   I222        I 2 2 2              I 2 2 2                          D2^8    123  I 2 2           std    222    D2   12  222I   
24   I2_12_12_1  I 2_1 2_1 2_1        I 2_1 2_1 2_1                    D2^9    124  I 2b 2c         std    222    D2   12  222I   
25   Pmm2        P m m 2              P m m 2                          C2v^1   125  P 2 -2          std    mm2    C2v  13  mm2P   
25   P2mm        P 2 m m              P 2 m m                          C2v^1   126  P -2 2          cab    mm2    C2v  13  mm2P   
25   Pm2m        P m 2 m              P m 2 m                          C2v^1   127  P -2 -2         bca    mm2    C2v  13  mm2P   
26   Pmc2_1      P m c 2_1            P m c 2_1                        C2v^2   128  P 2c -2         std    mm2    C2v  13  mm2P   
26   Pcm2_1      P c m 2_1            P c m 2_1                        C2v^2   129  P 2c -2c        ba-c   mm2    C2v  13  mm2P   
26   P2_1ma      P 2_1 m a            P 2_1 m a                        C2v^2   130  P -2a 2a        cab    mm2    C2v  13  mm2P   
26   P2_1am      P 2_1 a m            P 2_1 a m                        C2v^2   131  P -2 2a         -cba   mm2    C2v  13  mm2P   
26   Pb2_1m      P b 2_1 m            P b 2_1 m                        C2v^2   132  P -2 -2b        bca    mm2    C2v  13  mm2P   
26   Pm2_1b      P m 2_1 b            P m 2_1 b                        C2v^2   133  P -2b -2        a-cb   mm2    C2v  13  mm2P   
27   Pcc2        P c c 2              P c c 2                          C2v^3   134  P 2 -2c         std    mm2    C2v  13  mm2P   
27   P2aa        P 2 a a              P 2 a a                          C2v^3   135  P -2a 2         cab    mm2    C2v  13  mm2P   
27   Pb2b        P b 2 b              P b 2 b                          C2v^3   136  P -2b -2b       bca    mm2    C2v  13  mm2P   
28   Pma2        P m a 2              P m a 2                          C2v^4   137  P 2 -2a         std    mm2    C2v  13  mm2P   
28   Pbm2        P b m 2              P b m 2                          C2v^4   138  P 2 -2b         ba-c   mm2    C2v  13  mm2P   
28   P2mb        P 2 m b              P 2 m b                          C2v^4   139  P -2b 2         cab    mm2    C2v  13  mm2P   
28   P2cm        P 2 c m              P 2 c m                          C2v^4   140  P -2c 2         -cba   mm2    C2v  13  mm2P   
28   Pc2m        P c 2 m              P c 2 m                          C2v^4   141  P -2c -2c       bca    mm2    C2v  13  mm2P   
28   Pm2a        P m 2 a              P m 2 a                          C2v^4   142  P -2a -2a       a-cb   mm2    C2v  13  mm2P   
29   Pca2_1      P c a 2_1            P c a 2_1                        C2v^5   143  P 2c -2ac       std    mm2    C2v  13  mm2P   
29   Pbc2_1      P b c 2_1            P b c 2_1                        C2v^5   144  P 2c -2b        ba-c   mm2    C2v  13  mm2P   
29   P2_1ab      P 2_1 a b            P 2_1 a b                        C2v^5   145  P -2b 2a        cab    mm2    C2v  13  mm2P   
29   P2_1ca      P 2_1 c a            P 2_1 c a                        C2v^5   146  P -2ac 2a       -cba   mm2    C2v  13  mm2P   
29   Pc2_1b      P c 2_1 b            P c 2_1 b                        C2v^5   147  P -2bc -2c      bca    mm2    C2v  13  mm2P   
29   Pb2_1a      P b 2_1 a            P b 2_1 a                        C2v^5   148  P -2a -2ab      a-cb   mm2    C2v  13  mm2P   
30   Pnc2        P n c 2              P n c 2                          C2v^6   149  P 2 -2bc        std    mm2    C2v  13  mm2P   
30   Pcn2        P c n 2              P c n 2                          C2v^6   150  P 2 -2ac        ba-c   mm2    C2v  13  mm2P   
30   P2na        P 2 n a              P 2 n a                          C2v^6   151  P -2ac 2        cab    mm2    C2v  13  mm2P   
30   P2an        P 2 a n              P 2 a n                          C2v^6   152  P -2ab 2        -cba   mm2    C2v  13  mm2P   
30   Pb2n        P b 2 n              P b 2 n                          C2v^6   153  P -2ab -2ab     bca    mm2    C2v  13  mm2P   
30   Pn2b        P n 2 b              P n 2 b                          C2v^6   154  P -2bc -2bc     a-cb   mm2    C2v  13  mm2P   
31   Pmn2_1      P m n 2_1            P m n 2_1                        C2v^7   155  P 2ac -2        std    mm2    C2v  13  mm2P   
31   Pnm2_1      P n m 2_1            P n m 2_1                        C2v^7   156  P 2bc -2bc      ba-c   mm2    C2v  13  mm2P   
31   P2_1mn      P 2_1 m n            P 2_1 m n                        C2v^7   157  P -2ab 2ab      cab    mm2    C2v  13  mm2P   
31   P2_1nm      P 2_1 n m            P 2_1 n m                        C2v^7   158  P -2 2ac        -cba   mm2    C2v  13  mm2P   
31   Pn2_1m      P n 2_1 m            P n 2_1 m                        C2v^7   159  P -2 -2bc       bca    mm2    C2v  13  mm2P   
31   Pm2_1n      P m 2_1 n            P m 2_1 n                        C2v^7   160  P -2ab -2       a-cb   mm2    C2v  13  mm2P   
32   Pba2        P b a 2              P b a 2                          C2v^8   161  P 2 -2ab        std    mm2    C2v  13  mm2P   
32   P2cb        P 2 c b              P 2 c b                          C2v^8   162  P -2bc 2        cab    mm2    C2v  13  mm2P   
32   Pc2a        P c 2 a              P c 2 a                          C2v^8   163  P -2ac -2ac     bca    mm2    C2v  13  mm2P   
